country,alpha_2_code,alpha_3_code,Indicator,Year,Value_in_percentage%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2013,2.93%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2014,2.98%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2015,2.98%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2016,2.98%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2017,2.99%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2018,3.01%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2019,3.03%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2020,3.05%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2021,3.04%
Albania,AL,ALB,Proportion of population using unimproved drinking water sources,2022,3.03%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2000,4.14%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2001,3.92%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2002,3.71%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2003,3.50%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2004,3.29%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2005,3.09%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2006,2.89%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2007,2.70%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2008,2.51%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2009,2.32%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2010,2.14%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2011,1.96%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2012,1.78%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2013,1.61%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2014,1.44%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2015,1.28%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2016,1.11%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2017,0.95%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2018,0.80%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2019,0.65%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2020,0.49%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2021,0.35%
Algeria,DZ,DZA,Proportion of population using unimproved drinking water sources,2022,0.34%
American Samoa,AS,ASM,Proportion of population using unimproved drinking water sources,2000,5.07%
American Samoa,AS,ASM,Proportion of population using unimproved drinking water sources,2001,4.81%
American Samoa,AS,ASM,Proportion of population using unimproved drinking water sources,2002,4.56%
American Samoa,AS,ASM,Proportion of population using unimproved drinking water sources,2003,4.31%
American Samoa,AS,ASM,Proportion of population using unimproved drinking water sources,2004,4.05%
American Samoa,AS,ASM,Proportion of population using unimproved drinking water sources,2005,3.80%
American Samoa,AS,ASM,Proportion of population using unimproved drinking water sources,2006,3.55%
American Samoa,AS,ASM,Proportion of population using unimproved drinking water sources,2007,3.29%
American Samoa,AS,ASM,Proportion of population using unimproved drinking water sources,2008,3.04%
American Samoa,AS,ASM,Proportion of population using unimproved drinking water sources,2009,2.78%
American Samoa,AS,ASM,Proportion of population using unimproved drinking water sources,2010,2.53%
American Samoa,AS,ASM,Proportion of population using unimproved drinking water sources,2011,2.28%
American Samoa,AS,ASM,Proportion of population using unimproved drinking water sources,2012,2.02%
American Samoa,AS,ASM,Proportion of population using unimproved drinking water sources,2013,1.77%
American Samoa,AS,ASM,Proportion of population using unimproved drinking water sources,2014,1.52%
American Samoa,AS,ASM,Proportion of population using unimproved drinking water sources,2015,1.26%
American Samoa,AS,ASM,Proportion of population using unimproved drinking water sources,2016,1.01%
American Samoa,AS,ASM,Proportion of population using unimproved drinking water sources,2017,0.76%
American Samoa,AS,ASM,Proportion of population using unimproved drinking water sources,2018,0.76%
American Samoa,AS,ASM,Proportion of population using unimproved drinking water sources,2019,0.76%
American Samoa,AS,ASM,Proportion of population using unimproved drinking water sources,2020,0.76%
American Samoa,AS,ASM,Proportion of population using unimproved drinking water sources,2021,0.76%
Andorra,AD,AND,Proportion of population using unimproved drinking water sources,2000,0.00%
Andorra,AD,AND,Proportion of population using unimproved drinking water sources,2005,0.00%
Andorra,AD,AND,Proportion of population using unimproved drinking water sources,2010,0.00%
Andorra,AD,AND,Proportion of population using unimproved drinking water sources,2012,0.00%
Andorra,AD,AND,Proportion of population using unimproved drinking water sources,2016,0.00%
Andorra,AD,AND,Proportion of population using unimproved drinking water sources,2018,0.00%
Andorra,AD,AND,Proportion of population using unimproved drinking water sources,2019,0.00%
Andorra,AD,AND,Proportion of population using unimproved drinking water sources,2020,0.00%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2000,9.07%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2001,9.11%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2002,9.14%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2003,9.67%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2004,10.22%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2005,10.78%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2006,11.40%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2007,12.03%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2008,12.66%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2009,13.31%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2010,13.97%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2011,14.63%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2012,15.30%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2013,15.98%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2014,16.67%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2015,17.37%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2016,18.08%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2017,18.80%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2018,19.52%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2019,19.48%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2020,19.45%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2021,19.42%
Angola,AO,AGO,Proportion of population using unimproved drinking water sources,2022,19.39%
Anguilla,AI,AIA,Proportion of population using unimproved drinking water sources,2000,3.83%
Anguilla,AI,AIA,Proportion of population using unimproved drinking water sources,2001,3.73%
Anguilla,AI,AIA,Proportion of population using unimproved drinking water sources,2002,3.63%
Anguilla,AI,AIA,Proportion of population using unimproved drinking water sources,2003,3.53%
Anguilla,AI,AIA,Proportion of population using unimproved drinking water sources,2004,3.43%
Anguilla,AI,AIA,Proportion of population using unimproved drinking water sources,2005,3.33%
Anguilla,AI,AIA,Proportion of population using unimproved drinking water sources,2006,3.22%
Anguilla,AI,AIA,Proportion of population using unimproved drinking water sources,2007,3.12%
Anguilla,AI,AIA,Proportion of population using unimproved drinking water sources,2008,3.02%
Anguilla,AI,AIA,Proportion of population using unimproved drinking water sources,2009,2.92%
Anguilla,AI,AIA,Proportion of population using unimproved drinking water sources,2010,2.82%
Anguilla,AI,AIA,Proportion of population using unimproved drinking water sources,2011,2.72%
Anguilla,AI,AIA,Proportion of population using unimproved drinking water sources,2012,2.62%
Anguilla,AI,AIA,Proportion of population using unimproved drinking water sources,2013,2.52%
Anguilla,AI,AIA,Proportion of population using unimproved drinking water sources,2014,2.52%
Anguilla,AI,AIA,Proportion of population using unimproved drinking water sources,2015,2.52%
Anguilla,AI,AIA,Proportion of population using unimproved drinking water sources,2016,2.52%
Anguilla,AI,AIA,Proportion of population using unimproved drinking water sources,2017,2.52%
Antigua and Barbuda,AG,ATG,Proportion of population using unimproved drinking water sources,2009,1.42%
Antigua and Barbuda,AG,ATG,Proportion of population using unimproved drinking water sources,2010,1.42%
Antigua and Barbuda,AG,ATG,Proportion of population using unimproved drinking water sources,2011,1.42%
Antigua and Barbuda,AG,ATG,Proportion of population using unimproved drinking water sources,2012,1.42%
Antigua and Barbuda,AG,ATG,Proportion of population using unimproved drinking water sources,2013,1.42%
Antigua and Barbuda,AG,ATG,Proportion of population using unimproved drinking water sources,2014,1.42%
Antigua and Barbuda,AG,ATG,Proportion of population using unimproved drinking water sources,2015,1.42%
Antigua and Barbuda,AG,ATG,Proportion of population using unimproved drinking water sources,2016,1.42%
Antigua and Barbuda,AG,ATG,Proportion of population using unimproved drinking water sources,2017,1.42%
Antigua and Barbuda,AG,ATG,Proportion of population using unimproved drinking water sources,2018,1.42%
Antigua and Barbuda,AG,ATG,Proportion of population using unimproved drinking water sources,2019,1.42%
Antigua and Barbuda,AG,ATG,Proportion of population using unimproved drinking water sources,2020,1.42%
Antigua and Barbuda,AG,ATG,Proportion of population using unimproved drinking water sources,2021,1.42%
Antigua and Barbuda,AG,ATG,Proportion of population using unimproved drinking water sources,2022,1.42%
Argentina,AR,ARG,Proportion of population using unimproved drinking water sources,2000,2.57%
Argentina,AR,ARG,Proportion of population using unimproved drinking water sources,2001,2.39%
Argentina,AR,ARG,Proportion of population using unimproved drinking water sources,2002,2.22%
Argentina,AR,ARG,Proportion of population using unimproved drinking water sources,2003,2.06%
Argentina,AR,ARG,Proportion of population using unimproved drinking water sources,2004,1.89%
Argentina,AR,ARG,Proportion of population using unimproved drinking water sources,2005,1.73%
Argentina,AR,ARG,Proportion of population using unimproved drinking water sources,2006,1.58%
Argentina,AR,ARG,Proportion of population using unimproved drinking water sources,2007,1.42%
Argentina,AR,ARG,Proportion of population using unimproved drinking water sources,2008,1.27%
Argentina,AR,ARG,Proportion of population using unimproved drinking water sources,2009,1.12%
Argentina,AR,ARG,Proportion of population using unimproved drinking water sources,2010,0.98%
Argentina,AR,ARG,Proportion of population using unimproved drinking water sources,2011,0.84%
Argentina,AR,ARG,Proportion of population using unimproved drinking water sources,2012,0.70%
Argentina,AR,ARG,Proportion of population using unimproved drinking water sources,2013,0.65%
Argentina,AR,ARG,Proportion of population using unimproved drinking water sources,2014,0.59%
Argentina,AR,ARG,Proportion of population using unimproved drinking water sources,2015,0.54%
Argentina,AR,ARG,Proportion of population using unimproved drinking water sources,2016,0.49%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2000,2.36%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2001,2.22%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2002,2.07%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2003,1.92%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2004,1.77%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2005,1.62%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2006,1.46%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2007,1.31%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2008,1.15%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2009,1.00%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2010,0.84%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2011,0.68%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2012,0.53%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2013,0.37%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2014,0.21%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2015,0.10%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2016,0.09%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2017,0.07%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2018,0.06%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2019,0.04%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2020,0.03%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2021,0.02%
Armenia,AM,ARM,Proportion of population using unimproved drinking water sources,2022,0.00%
Aruba,AW,ABW,Proportion of population using unimproved drinking water sources,2000,5.42%
Aruba,AW,ABW,Proportion of population using unimproved drinking water sources,2001,5.13%
Aruba,AW,ABW,Proportion of population using unimproved drinking water sources,2002,4.84%
Aruba,AW,ABW,Proportion of population using unimproved drinking water sources,2003,4.55%
Aruba,AW,ABW,Proportion of population using unimproved drinking water sources,2004,4.27%
Aruba,AW,ABW,Proportion of population using unimproved drinking water sources,2005,3.98%
Aruba,AW,ABW,Proportion of population using unimproved drinking water sources,2006,3.69%
Aruba,AW,ABW,Proportion of population using unimproved drinking water sources,2007,3.40%
Aruba,AW,ABW,Proportion of population using unimproved drinking water sources,2008,3.11%
Aruba,AW,ABW,Proportion of population using unimproved drinking water sources,2009,2.82%
Aruba,AW,ABW,Proportion of population using unimproved drinking water sources,2010,2.54%
Aruba,AW,ABW,Proportion of population using unimproved drinking water sources,2011,2.25%
Aruba,AW,ABW,Proportion of population using unimproved drinking water sources,2012,1.96%
Aruba,AW,ABW,Proportion of population using unimproved drinking water sources,2013,1.96%
Aruba,AW,ABW,Proportion of population using unimproved drinking water sources,2014,1.96%
Aruba,AW,ABW,Proportion of population using unimproved drinking water sources,2015,1.96%
Aruba,AW,ABW,Proportion of population using unimproved drinking water sources,2016,1.96%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2000,0.24%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2001,0.24%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2002,0.24%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2003,0.22%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2004,0.20%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2005,0.18%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2006,0.15%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2007,0.13%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2008,0.11%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2009,0.09%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2010,0.07%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2011,0.06%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2012,0.06%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2013,0.05%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2014,0.04%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2015,0.03%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2016,0.03%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2017,0.03%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2018,0.03%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2019,0.03%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2020,0.03%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2021,0.03%
Australia,AU,AUS,Proportion of population using unimproved drinking water sources,2022,0.03%
Austria,AT,AUT,Proportion of population using unimproved drinking water sources,2000,0.00%
Austria,AT,AUT,Proportion of population using unimproved drinking water sources,2002,0.00%
Austria,AT,AUT,Proportion of population using unimproved drinking water sources,2003,0.00%
Austria,AT,AUT,Proportion of population using unimproved drinking water sources,2004,0.00%
Austria,AT,AUT,Proportion of population using unimproved drinking water sources,2005,0.00%
Austria,AT,AUT,Proportion of population using unimproved drinking water sources,2007,0.00%
Austria,AT,AUT,Proportion of population using unimproved drinking water sources,2008,0.00%
Austria,AT,AUT,Proportion of population using unimproved drinking water sources,2011,0.00%
Austria,AT,AUT,Proportion of population using unimproved drinking water sources,2012,0.00%
Austria,AT,AUT,Proportion of population using unimproved drinking water sources,2013,0.00%
Austria,AT,AUT,Proportion of population using unimproved drinking water sources,2015,0.00%
Austria,AT,AUT,Proportion of population using unimproved drinking water sources,2018,0.00%
Austria,AT,AUT,Proportion of population using unimproved drinking water sources,2019,0.00%
Austria,AT,AUT,Proportion of population using unimproved drinking water sources,2022,0.00%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2000,8.38%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2001,8.09%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2002,7.80%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2003,7.51%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2004,7.23%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2005,6.94%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2006,6.66%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2007,6.38%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2008,6.10%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2009,5.82%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2010,5.54%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2011,5.26%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2012,4.98%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2013,4.70%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2014,4.42%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2015,4.14%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2016,3.87%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2017,3.59%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2018,3.31%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2019,2.99%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2020,2.59%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2021,1.93%
Azerbaijan,AZ,AZE,Proportion of population using unimproved drinking water sources,2022,1.29%
Bahamas,BS,BHS,Proportion of population using unimproved drinking water sources,2000,1.75%
Bahamas,BS,BHS,Proportion of population using unimproved drinking water sources,2001,1.71%
Bahamas,BS,BHS,Proportion of population using unimproved drinking water sources,2002,1.67%
Bahamas,BS,BHS,Proportion of population using unimproved drinking water sources,2003,1.63%
Bahamas,BS,BHS,Proportion of population using unimproved drinking water sources,2004,1.58%
Bahamas,BS,BHS,Proportion of population using unimproved drinking water sources,2005,1.54%
Bahamas,BS,BHS,Proportion of population using unimproved drinking water sources,2006,1.50%
Bahamas,BS,BHS,Proportion of population using unimproved drinking water sources,2007,1.46%
Bahamas,BS,BHS,Proportion of population using unimproved drinking water sources,2008,1.41%
Bahamas,BS,BHS,Proportion of population using unimproved drinking water sources,2009,1.37%
Bahamas,BS,BHS,Proportion of population using unimproved drinking water sources,2010,1.33%
Bahamas,BS,BHS,Proportion of population using unimproved drinking water sources,2011,1.28%
Bahamas,BS,BHS,Proportion of population using unimproved drinking water sources,2012,1.24%
Bahamas,BS,BHS,Proportion of population using unimproved drinking water sources,2013,1.20%
Bahamas,BS,BHS,Proportion of population using unimproved drinking water sources,2014,1.16%
Bahamas,BS,BHS,Proportion of population using unimproved drinking water sources,2015,1.11%
Bahamas,BS,BHS,Proportion of population using unimproved drinking water sources,2016,1.11%
Bahamas,BS,BHS,Proportion of population using unimproved drinking water sources,2017,1.11%
Bahamas,BS,BHS,Proportion of population using unimproved drinking water sources,2018,1.11%
Bahamas,BS,BHS,Proportion of population using unimproved drinking water sources,2019,1.11%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2000,0.04%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2001,0.04%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2002,0.05%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2003,0.05%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2004,0.05%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2005,0.05%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2006,0.05%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2007,0.05%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2008,0.06%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2009,0.06%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2010,0.06%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2011,0.06%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2012,0.06%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2013,0.07%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2014,0.07%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2015,0.07%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2016,0.07%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2017,0.07%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2018,0.08%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2019,0.08%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2020,0.08%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2021,0.08%
Bahrain,BH,BHR,Proportion of population using unimproved drinking water sources,2022,0.08%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2000,1.84%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2001,1.75%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2002,1.65%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2003,1.56%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2004,1.47%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2005,1.38%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2006,1.29%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2007,1.20%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2008,1.11%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2009,1.03%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2010,0.94%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2011,0.86%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2012,0.77%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2013,0.69%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2014,0.61%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2015,0.53%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2016,0.45%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2017,0.38%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2018,0.30%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2019,0.23%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2020,0.15%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2021,0.11%
Bangladesh,BD,BGD,Proportion of population using unimproved drinking water sources,2022,0.10%
Barbados,BB,BRB,Proportion of population using unimproved drinking water sources,2000,1.41%
Barbados,BB,BRB,Proportion of population using unimproved drinking water sources,2001,1.40%
Barbados,BB,BRB,Proportion of population using unimproved drinking water sources,2002,1.39%
Barbados,BB,BRB,Proportion of population using unimproved drinking water sources,2003,1.38%
Barbados,BB,BRB,Proportion of population using unimproved drinking water sources,2004,1.37%
Barbados,BB,BRB,Proportion of population using unimproved drinking water sources,2005,1.36%
Barbados,BB,BRB,Proportion of population using unimproved drinking water sources,2006,1.35%
Barbados,BB,BRB,Proportion of population using unimproved drinking water sources,2007,1.34%
Barbados,BB,BRB,Proportion of population using unimproved drinking water sources,2008,1.33%
Barbados,BB,BRB,Proportion of population using unimproved drinking water sources,2009,1.32%
Barbados,BB,BRB,Proportion of population using unimproved drinking water sources,2010,1.31%
Barbados,BB,BRB,Proportion of population using unimproved drinking water sources,2011,1.30%
Barbados,BB,BRB,Proportion of population using unimproved drinking water sources,2012,1.29%
Barbados,BB,BRB,Proportion of population using unimproved drinking water sources,2013,1.28%
Barbados,BB,BRB,Proportion of population using unimproved drinking water sources,2014,1.27%
Barbados,BB,BRB,Proportion of population using unimproved drinking water sources,2015,1.26%
Barbados,BB,BRB,Proportion of population using unimproved drinking water sources,2016,1.25%
Barbados,BB,BRB,Proportion of population using unimproved drinking water sources,2017,1.24%
Barbados,BB,BRB,Proportion of population using unimproved drinking water sources,2018,1.23%
Barbados,BB,BRB,Proportion of population using unimproved drinking water sources,2019,1.22%
Barbados,BB,BRB,Proportion of population using unimproved drinking water sources,2020,1.22%
Barbados,BB,BRB,Proportion of population using unimproved drinking water sources,2021,1.22%
